pet_name,pet_gender,owner_name,vet_name,feeding_schedule,pet_type,breedID,color,pet_id
Tamar,male,Tamar Mougeot,Tamar Dinnies,once a day,lab born,36e7430d-007d-40b2-81e0-59c534508b47,Teal,df53cddd-57fb-4f5d-a0c7-a21f8a2f30ae
Elsy,female,Elsy Aishford,Elsy Bratcher,every 4 hours,stolen,36f9fbc3-08af-4786-9a8b-599c94e64ded,Crimson,9018070d-6888-4ddb-b053-a3c5e5ee3f72
Norris,male,,Norris Shafe,once a day,stolen,37913df9-3d22-48b3-b572-9dcbf578b202,Purple,166d8ed0-ffea-4009-b6d5-d78dfcc26b47
Pail,female,Pail Marjot,Pail Logg,twice a day,lab grown,37b97b8a-b54f-415a-9250-c605ce4d42aa,Crimson,f92659a3-e7ac-4aa8-a5aa-8cdea6325ffc
Oberon,female,,Oberon Sines,every 4 hours,lab born,385a24ea-cdd4-4d8e-8032-66144ae0f6fb,Turquoise,2a8f85b7-38ee-4635-8b7e-bea3a83e55a5
Margareta,female,Margareta Antoniazzi,Margareta Fosdick,twice a day,found,3878166b-090e-4f4c-81f3-4057170363fd,Maroon,957c6b7c-412d-47e6-9a43-87553cb7b3cc
Kali,male,Kali Guerin,Kali Davie,twice a day,stolen,38953371-9691-4b04-b575-8ebe182110b2,Crimson,2ddbab70-4869-4720-abba-5513655ebee3
Bradan,male,Bradan Fossick,Bradan Luppitt,every 4 hours,found,38bad0ae-c3b1-43fa-a943-7d6616017891,Yellow,0ef7c975-8fe3-4bfe-898b-2909a578232b
Ciro,female,Ciro Domico,Ciro Rowlin,every 4 hours,stolen,39088744-2c87-48fa-86fa-604bdcdd975a,Indigo,a87cde04-a56e-4d02-8d79-51674dca2b15
Abby,male,Abby Sheather,Abby Waleran,twice a day,lab born,3933baf4-4f0f-49f3-9759-22cffc37e103,Aquamarine,f4fce658-9a5c-4871-9d02-f67c6c018561
Lawton,female,Lawton Cufflin,Lawton Adriani,every 4 hours,stolen,393e71b1-f4c3-436b-9aad-bf7368a69d23,Maroon,a89878b9-d5be-4bd9-96e5-6eb8656e9685
Bartolomeo,female,Bartolomeo Weller,Bartolomeo Depka,every 4 hours,stolen,39c1b230-0b9b-4af3-a9aa-b3030c5deaf4,Crimson,317d0cf3-f299-4326-8f6c-d529b28bc446
Kerk,female,Kerk Keyzor,Kerk Hemphill,twice a day,found,3ab15a73-6ee5-41a6-a585-95ee96751199,Puce,6f4fad33-f416-4934-863f-b83b6cf44aef
Mallory,male,,Mallory Salvadori,once a day,lab born,3abe9d53-2dbd-49cc-ba21-dbe84b12c77f,Purple,23a38b65-2b74-452a-b4e8-9569fab65b5c
Mariejeanne,male,Mariejeanne Bever,Mariejeanne Barracks,,found,3aff529d-04fb-4412-a29c-e9bf491b30d4,Khaki,36e32d09-47c6-4477-8cbc-fe3f1f4e9c02
Domenico,male,Domenico Gowing,Domenico Coaster,every 4 hours,lab grown,3b60985a-4d7a-45e1-88ae-8b7138d25be9,Goldenrod,641b8d0c-1a2c-4096-bb2e-a17aff12c1a1
Merv,male,Merv Rayhill,Merv Woodthorpe,every 4 hours,lab grown,3b75e5aa-5b30-4ace-809e-f12bc8250088,Blue,73f47cac-2eae-4fd9-8f01-87d79bd03067
Sydney,female,Sydney Menat,Sydney Allard,once a day,stolen,3bce32ad-1454-4269-aee1-a66fa6c6ce5e,Crimson,dfb254f9-f98f-4013-b4c7-976d1f9dd01c
Orella,male,Orella Woodus,,twice a day,lab born,3c2436ee-e13b-4626-86c1-359712296e7f,Mauv,746fccae-0a6e-4a52-8d1f-a202caaa8c27
Felicle,male,Felicle Borrowman,Felicle Trumble,once a day,found,3d11a958-83b4-466d-bdeb-96866118ea0d,Crimson,5ee29200-ee18-4e7b-b2e7-efaccf6f386f
Felix,female,Felix Loton,Felix Bruno,twice a day,stolen,3d85113b-b45c-4284-becb-da3a5adc28d6,Yellow,32765d01-a208-42cb-a36b-a7fdc7b81142
Burnaby,female,,Burnaby Gorling,every 4 hours,stolen,3e1052c6-0a07-4f48-a280-6af5b9dc88e2,Crimson,153ba9e3-4315-4b4d-bef1-4ec4dcf70053
Jemie,female,,,once a day,lab born,3e7d235b-d6d0-4a68-aa08-ba9e76f50f54,Yellow,f561c668-c7ef-4665-8e9d-1140bbaa81a9
Zara,male,,Zara Clair,once a day,found,3e99cb8f-15d7-4628-8003-ca3dabb83ca6,Pink,7d84f51b-96a7-4486-812d-bec06af8fa30
Gunar,male,Gunar Hunnaball,,,lab grown,3ec39827-3861-474e-b079-cc1e8dde0f26,Turquoise,db66cb2d-a82b-48a1-832c-a2dc6e6c3764
Arabella,female,Arabella Kuhnel,Arabella Moxstead,every 4 hours,lab born,3eefdb74-8dc4-47ab-a6e1-909126bc9dd7,Violet,cee29362-bfc6-4065-acf8-5692459939fb
Correy,female,,Correy Kingescot,every 4 hours,lab born,3f0cd2ad-5a24-49db-b581-338cfedeb15b,Goldenrod,77116a00-3f05-4c07-bcec-9cce201dd7d3
Lusa,female,Lusa Skipper,Lusa Pinck,every 4 hours,lab born,3f898590-6e88-4efe-9c23-48aed591a8c6,Fuscia,1d9e8bbe-9b2a-42d5-90e9-e883f7e71bd9
Gan,female,Gan Woolnough,Gan Jealous,every 4 hours,found,40798500-dc96-4c6d-a15c-c33379637775,Teal,be5588b9-a8fc-4cf6-8954-7c9595e81e6c
Carolynn,female,,,once a day,found,419880b3-a238-4985-a523-9cdca92ad665,Khaki,602811b2-1a70-4256-9e3c-27c2d269e143
Kaitlynn,female,Kaitlynn Sneden,Kaitlynn Dibble,twice a day,found,41c3510c-0d0e-48e2-84c7-87b14b1dc9d6,Crimson,eebfb990-0aa4-41df-8e0b-220f0bbb6be2
Orv,female,Orv Openshaw,Orv Manzell,every 4 hours,stolen,41c65e87-cca7-4315-b67e-78767627b8e3,Yellow,99abdb69-d7d2-4ad0-8224-05aa458afdb3
Dolph,female,Dolph Ternouth,Dolph Rookeby,once a day,,41f08425-76aa-493a-927f-144174b242ce,Violet,b7f8a36b-0ac4-4d8e-a6bf-d70f40ec8b03
Sydney,female,Sydney Axelbey,Sydney Bilney,once a day,found,4226ddd5-6ff2-44e3-bbd8-8d6fb47d2625,Pink,59cb1912-ebb7-42cd-b2f2-747feeacb57c
Ferris,male,,Ferris Aitken,once a day,,42a27627-9c1b-4fa7-af85-fd93d5f564e4,Crimson,217563f5-3874-4518-961d-b82a1fcf7060
Dorothea,female,Dorothea Le Galle,Dorothea Burnip,twice a day,found,448e18f9-9c4d-4002-951d-c0691e03bec3,Red,008bd277-f30b-4961-8696-1da0caad7ad6
Pauly,male,Pauly Breedy,Pauly Bransom,every 4 hours,lab born,452f0fa0-6c74-4b0d-b25d-bc2acd7966d6,Purple,a0bfeaad-1f98-4e61-a54a-99c618d4443b
Stacy,male,Stacy Shilladay,Stacy Eate,once a day,found,458e9e11-f3a5-489b-8d5c-9c0a0c81dfc5,Orange,beaad60e-cf76-4c5e-b435-fab08ded0deb
Say,male,Say Spaight,Say Dawid,twice a day,lab born,4626df24-964b-4350-95a0-6fdd19425da4,Orange,8baa0b06-d11e-4ad0-8b5e-f33e08162f9a
Rakel,male,,Rakel Prator,once a day,lab grown,46a7112b-e268-45cb-a526-d947b686530a,Red,7797579a-49c8-4e0a-a906-6587dc5d7122
Lindsy,female,Lindsy Musicka,Lindsy Boreland,,stolen,46ab8e46-8533-470f-a7e0-d7c63688c67a,Yellow,77523f6a-cac1-40d2-a505-e4a98d2c686f
Javier,female,Javier Yole,Javier Hackelton,,lab born,476bd353-7fc2-4f21-802f-d7ce3de3b2a7,Pink,e98e6852-fb5d-4516-b201-d6dad4fee0d3
Jackelyn,female,Jackelyn Wolfart,Jackelyn Lepick,every 4 hours,stolen,4791609a-280b-4d86-b125-cea55dd489c7,Maroon,a89e279d-d5b5-444c-8d47-55db070f8e0b
Deeyn,male,Deeyn MacGillacolm,Deeyn Maitland,twice a day,stolen,48a3db86-cecc-4028-9952-38b257ea530d,Violet,fec5596c-ad05-4a83-ad74-df3983588032
Monika,male,Monika Splevings,,every 4 hours,stolen,4918f73a-333f-43a2-aefe-012507b75227,Teal,14b534fa-f2ec-4d81-879a-d700ce250bf1
Marena,female,Marena Pendrill,Marena Cradoc,once a day,stolen,496d6e82-3d1a-474a-b988-bdc981a82da3,Aquamarine,18148987-4e99-4649-9a29-45deaa807faf
Wynne,male,Wynne Toller,Wynne Giller,,lab grown,49d6a5ff-c2f7-46ef-b802-eb769f53f62f,Teal,a1dd1076-cb68-4a1f-bfce-4f084bd04336
Keene,female,Keene Ibbitt,,every 4 hours,stolen,4a5955da-a82d-47bd-be7d-ffcb62766112,Purple,fc3dcee4-0112-48fb-8ec8-46c12c87d586
Ferdie,female,Ferdie Aguirrezabal,Ferdie Potkin,once a day,found,4a5f8cce-e031-4eb5-9bd2-40524f82b4d7,Teal,16ad838e-7a8f-4df7-ae5f-7de54f0bb40b
Donnell,female,Donnell Wadelin,Donnell Mayne,,stolen,4a9bc946-3d2d-42ca-a72e-6bcc923908af,Crimson,1fc9a776-3e0e-4e35-ac69-c0fb24224464
Idette,female,Idette Mitchiner,,twice a day,found,4a9f6636-0ea2-4e11-b47d-bbc1373700a2,Crimson,8988b7d5-c1f7-4fb8-b783-c499d7f79909
Farlay,male,Farlay Baxter,Farlay Kamenar,once a day,found,4abccdfc-b7b8-4766-9ca7-b9f5e55b9402,Red,384b9b9a-e3fb-40b0-a4a6-162d307c8464
Alvis,female,,Alvis Parnby,twice a day,lab born,4ac4f311-3930-4167-89df-d21114d33b08,Khaki,726213e1-575d-454a-9224-f63fddab1e3c
Trula,male,Trula Dows,Trula Turvie,once a day,found,4bee1f65-1095-4470-890d-3bfb4d3e886b,Yellow,94c26c32-7434-41e3-8d56-c861938faec3
Saudra,male,Saudra Phillips,Saudra Hutton,twice a day,lab born,4c6e1e42-3df0-4590-849f-023840d5593e,Khaki,31151855-803a-42ee-b06f-b4d6e73c6bd1
Deidre,female,Deidre Salkeld,Deidre Greenhalgh,twice a day,stolen,4d1edc6e-438b-4f89-90c3-03647f9c4395,Fuscia,b800c0fd-d7de-4181-9e72-d9b09d7d1aab
Elke,male,Elke Lombard,Elke Lanphier,every 4 hours,lab born,4e0bd588-2cd4-4e67-ae72-5ff2a920f117,Blue,98348ecb-60ad-4ed7-b8cd-68282fe63fe8
Nari,male,Nari Dreng,Nari Georgelin,once a day,lab born,4e50dd3b-6fb5-4e2b-ae87-7e63a22b39a2,Yellow,69e7598a-8a0c-4e59-bbdc-0462ce227648
Kylie,female,,,once a day,lab grown,4e52fef3-8112-43bf-938e-2f7d5f9df88c,Pink,933d78c4-4416-44de-9f11-7f865c647170
Westleigh,male,Westleigh Jervoise,Westleigh Ney,every 4 hours,found,4e545924-b4e8-4e37-ab62-bf345d102306,Goldenrod,7721547c-63bf-40b6-9355-21d0d88f2ab6
Rickey,male,Rickey Eadmead,,every 4 hours,lab born,4e7d6190-336d-4307-92bf-773bd2b53f2f,Maroon,376f2c82-3253-4d8d-9c5b-9893a08e2679
Emera,male,Emera Mandifield,Emera Sidebotton,once a day,lab born,4e85d140-80d5-44cb-b92c-dd11dfdfb050,Yellow,c02be01a-0967-42d4-afb4-c07971ef28b9
Dixie,female,Dixie Spadoni,Dixie Crawforth,every 4 hours,lab born,4f1d2993-a327-493a-a4f0-4ac4228cac7e,Violet,ee85e878-4121-4e4d-87c9-14bc2d00dab9
Rina,female,Rina Brigham,Rina Siberry,once a day,found,4f82f868-cd99-470c-ae1e-daf82b86771f,Blue,7416f8a7-a779-4f19-82be-bb0efedd549e
Karil,female,Karil Archbell,,every 4 hours,lab grown,501e2183-2972-4308-b047-9697c89e17af,Blue,61a0a47a-3435-4590-bf8f-00df5a557c3f
Roze,female,Roze De Freyne,Roze Melton,once a day,lab born,50362055-9af4-4efd-9d1e-0503146ba5cc,Turquoise,43e54dce-d25d-4b38-ad2b-dc1419c65283
Trudy,male,,Trudy Orringe,,lab born,503d4274-6f47-4b20-9ee9-7393a23cc695,Yellow,6c8a7281-ec38-456b-9009-b9ca22880f82
Laurie,male,Laurie Secret,Laurie Grogor,every 4 hours,lab grown,50820936-5b57-4069-8248-a95859a6b59d,Goldenrod,0ca20666-b14e-4485-8f75-14e726a29811
Terrill,female,Terrill Huegett,Terrill Wiltshire,every 4 hours,lab born,513d771a-65ec-4e46-9e41-a19bd02938ab,Yellow,655010da-6ad0-41eb-8ab6-62c726185c78
Gifford,male,Gifford Lakenton,Gifford Golde,every 4 hours,lab grown,51808aa2-6c9b-40cb-8024-c89afce53ea4,Purple,912f9e59-9224-4f5f-9544-a13d649b0f91
Valina,male,Valina Jervoise,Valina Klugel,twice a day,lab born,523add9e-dc41-4f8e-be67-9af15e86c254,Green,1fe785c4-c471-4571-b387-6128f38588b7
Jory,female,Jory Mattiacci,Jory Bilton,once a day,stolen,52e92631-bca1-4b2a-8ee7-34b783d6a62b,Violet,b53f68ec-3712-4330-8149-da4fb7c6c478
Ilysa,female,Ilysa Clerc,Ilysa Rankin,every 4 hours,stolen,5338c363-9846-4972-8fd3-2fa253db4e4d,Yellow,ae6ebce0-b0f6-494e-a5ae-9366f8bdc3f3
Kiersten,female,Kiersten Seely,Kiersten Hull,once a day,found,5344a39e-7143-4c9b-9036-47bfdf1cbb61,Indigo,2f03cfb9-b8f2-417f-a7a6-34228dd2bf77
Silvain,female,Silvain McAlpine,Silvain Braikenridge,once a day,found,537e7406-1c0b-4180-a6e8-2902c2a7f098,Mauv,adf784b6-ad42-420d-bea5-1247711d6f24
Angelico,female,Angelico Dullard,Angelico Cragg,,lab grown,53ac0be8-e65b-4945-8966-016f4a060e12,Indigo,70c69142-9ebb-49b7-9451-b927bfc80c50
Ariana,male,Ariana Puttergill,,once a day,lab born,53c56f09-a98d-4614-a7ff-b35ff218d463,Red,ce6e9872-07c1-4245-9cb4-222c35ce3e59
Lorraine,male,Lorraine Wadman,Lorraine Vittore,twice a day,found,541918a0-72ab-4f82-bae8-6f555a5ace07,Blue,ca523530-572a-4442-9485-f9c24a8d2bc6
Yetta,male,Yetta Shermore,,once a day,found,541a54fb-7047-44a8-9ddc-0a922d6142d3,Orange,914913ac-315d-447f-bd5b-ba4fce442a40
Aili,female,Aili Darth,Aili Rainon,once a day,found,545ad37e-3d06-4527-98c7-6fa202f3e788,Teal,3f957d22-95df-4547-a92f-b61806689e9d
Rebekah,female,Rebekah Carwardine,Rebekah Nussgen,twice a day,lab born,5463f8f6-a1b7-45c8-a017-b9332fecc09d,Purple,7f40ea88-e588-46d4-b541-64ee444abe6a
Stephani,female,Stephani Besant,Stephani Marley,every 4 hours,stolen,54974f29-d0c4-4479-b5a5-888691552c37,Violet,bbea9e69-dea1-43e3-a715-b81b8ec2bfeb
Germayne,male,Germayne Spurriar,Germayne Wylam,every 4 hours,stolen,cb3a9da4-07b0-4969-9810-1505108d79d9,Turquoise,e2fd74ca-6fe9-4cc5-967c-eca8aeac058e
Louella,female,,,twice a day,lab grown,565f7e94-d0ee-48c8-aa7e-44df69ac8520,Red,22eca300-f47a-457b-bc52-3e1185059744
Monique,male,Monique O'Tuohy,Monique Gouldeby,twice a day,lab grown,5675863c-1bc5-4d24-b11e-9e7684bd74d8,Turquoise,f665313c-5596-4725-a5f8-1db146f93519
Spike,male,Spike Suttle,Spike Betteridge,once a day,lab grown,5679a3f2-d201-4bf1-9ac3-8a1d4d8c4ea9,Turquoise,8c37cff3-1a52-4068-abc4-4eca86d38b6a
Sunny,female,,Sunny Kelinge,every 4 hours,stolen,570f8dec-4e2a-4d3e-a423-0b2ad3633e47,Purple,c923f176-735c-4c56-8f0b-e45a4fa24181
Anne,female,,Anne Goult,,lab grown,58184acd-69e1-483f-ac67-da42b2756cde,Green,29b2bf0d-7d27-4418-af27-fd05ba21a4c4
Shelli,female,Shelli Zink,Shelli Zuppa,,stolen,5836386c-b14b-404e-97fa-d80ef19d8348,Yellow,f6af7926-3df8-49c3-ac8b-dd39c98c5119
Hamnet,female,Hamnet Outibridge,,every 4 hours,stolen,58c223d1-ccc6-40be-99ca-d5750c7c0987,Yellow,cdc71892-729e-47d4-b87d-28d953f81a9a
Grazia,female,,Grazia Benardeau,every 4 hours,lab grown,58c3e1a2-2515-43cb-9317-28436bc2b350,Fuscia,9b0d12c5-ae23-4a0d-848b-c1df493006ad
Sonia,male,Sonia Licciardi,Sonia Harhoff,once a day,found,59070aed-8917-4d67-9134-65deacadba31,Indigo,fd05f467-a20e-4096-9d66-8545035c6f69
Bone,female,Bone Armytage,Bone O'Lynn,once a day,found,5967b1d9-ce44-4ea4-ae09-482365eb35cf,Green,85d14def-1aaa-4b12-99aa-ec9ae74ee20a
Lorie,female,Lorie Dubery,,every 4 hours,stolen,5abd4209-e46a-43aa-8b39-ba321903d853,Blue,ff05645b-beec-481f-ad67-7673a6f12774
Judy,female,Judy Franc,Judy MacAlpin,once a day,lab grown,5b0d8af1-950c-49a4-bda2-904582d552d2,Fuscia,e1f0e1be-4735-42ad-a2a4-73b0336ab6c6
Shalom,male,Shalom Halbord,Shalom Halston,twice a day,stolen,5b329249-3354-4c51-86b9-d3a51796c4fa,Blue,7ad5d8d7-842e-4d65-afbe-f6734c6ba197
Reynolds,male,Reynolds Toghill,Reynolds Chiommienti,once a day,stolen,5b63c5d0-10a6-415e-b097-297173c8d8ce,Puce,17244e40-8d30-4c1c-89f9-531e746114b1
Carissa,male,Carissa de Clerq,,,lab born,5b6b9583-770c-47a4-9fb4-d4d790629fb8,Violet,9766c0c7-2f21-4bae-bd9d-c2b6d24c83ef
Amelina,male,Amelina Pyer,Amelina Jacquemard,twice a day,lab grown,5b8e0e46-a19d-4855-b605-d43875fd6e08,Goldenrod,919314e8-ce4b-4248-a4f7-2b03ec16621e
Lynnett,male,Lynnett Airdrie,Lynnett Dewsnap,every 4 hours,lab born,5bd71ced-9ff8-42ec-9e15-6d014e0cb381,Turquoise,8ed6a446-215a-4f11-8969-aa9aa680777e
Ortensia,female,Ortensia Ciccoloi,Ortensia Cliss,once a day,lab grown,5c7c16b0-209f-4255-a86f-1591553aae25,Goldenrod,ccc743df-9370-4f47-8f13-0509143607e1
Harmon,female,Harmon Woofinden,Harmon Haylor,,stolen,5c8068a5-beb7-4edb-8539-41abc7ab1527,Mauv,23bb7d8c-2c89-4204-a6e0-482ebdf8754e
Belva,male,Belva Warters,,,lab born,5d10f236-a94f-4384-a8e2-728fd79ea8b2,Red,5fa18cd1-cc8e-4b62-b72d-c82c72306009
Melva,male,Melva Almon,Melva Scamerden,once a day,lab grown,5dbfbc95-3ef0-4f54-8432-31a8808185ff,Pink,6230eb76-0cf6-4b60-bb44-f7058e48d497
Stanislas,female,,Stanislas Newlyn,once a day,,5e869a96-cd17-468d-8cd1-3fb7be893bba,Green,e0b0dddc-64a8-4b7f-a87c-aac5ec804869
Ashla,male,Ashla Sloley,Ashla Kas,,lab grown,5ee436df-ae6b-4ce0-9b0e-0f795f82d704,Goldenrod,12315a46-39ec-489c-9487-4749e948f7c8
Leone,female,Leone Dumbar,Leone Hallstone,every 4 hours,lab grown,5f4de903-e882-4a9d-8278-589bec71958b,Maroon,f4c435f6-c686-429a-93b3-1620dcaf9498
Cart,female,Cart Delagnes,Cart Wordsworth,once a day,found,6050e7e4-8b7f-4dbb-ad8b-0904a22ae63a,Purple,1156b7f1-346d-4c8b-b3ae-b1a4ea29825b
Reinold,male,Reinold Patchett,Reinold Szantho,,lab grown,605e12a4-4bf9-429a-be97-f709a29ead3d,Purple,379c9248-e86b-40fb-962a-e55875ecbe2e
Opaline,male,Opaline Willson,Opaline Wytchard,once a day,lab born,607d4585-98be-40b8-bb7c-4ae75ef163ca,Green,e01c1a5c-52f4-433f-9a82-eb57622684a5
Jase,female,Jase Dunphy,Jase Joisce,once a day,stolen,608f7a22-d7ae-405d-92ef-15e516130e2c,Pink,8e080085-d861-4761-affb-f60c43cc5f29
Gilberto,male,Gilberto Lloyd,Gilberto Neiland,twice a day,found,60a915b2-8623-4a6d-bd85-ba0256ddb660,Aquamarine,a6116931-e671-425a-9e6c-91a461717c27
Ginger,male,Ginger MacAllan,Ginger Swait,,found,60d0a398-13f2-44ee-ac76-24e552286082,Teal,e06e3d00-7011-4a38-a2b4-64c2672c4cc5
Cristin,female,,,once a day,stolen,60e174bb-09d7-4b5c-968e-355a5de8e50d,Turquoise,71f183f9-951d-4468-94e6-db96970a0140
Sandro,male,Sandro Turbill,,every 4 hours,lab born,60f50716-bdfc-4e03-bc42-ecf674f28ad3,Goldenrod,fdf95a36-02b7-4ade-8c4d-126233204a38
Janaya,male,,Janaya Eldred,once a day,lab born,61bfb988-12b7-4b6d-9c83-c7db925fdc66,Pink,dec04d2c-5370-42d4-b7f3-1545c40e295e
Fowler,female,Fowler Sirmon,Fowler McParlin,once a day,lab born,61dc0593-d385-44a6-8c97-0d4ef9b744e3,Crimson,bedd2e30-d7df-423e-bdcb-b149d89e9c1f
Bernice,male,Bernice Fassbender,Bernice Haythorn,twice a day,found,61f3e3ec-661a-46cb-8411-08c576feb591,Purple,688b718f-6cc4-4882-83eb-f33bf96f8f77
Zahara,male,Zahara Schachter,Zahara Kringe,every 4 hours,lab born,622d0550-5c83-4468-8349-66bcfe27793a,Puce,65262eb3-765d-4bfc-90fd-501b0744af27
Mechelle,male,Mechelle Wibberley,Mechelle Hodgon,,lab born,62be6571-b638-4caa-92ef-112c35850701,Teal,b216e6da-1531-4c88-b879-ad5528201a8a
Deedee,female,Deedee Carluccio,Deedee Goncaves,,found,62ede511-de08-4b75-8045-2aa3ded1a737,Teal,e37fa002-f8e7-481b-a94e-5e3c9a4dc716
Lorrin,female,Lorrin Kowalik,Lorrin Cottu,every 4 hours,stolen,630e6e00-bbdb-4911-86b1-2447eaf2e5fd,Goldenrod,bc718489-3fb6-4245-aaf8-4e7aa125dd16
Micah,female,,Micah Pendock,twice a day,found,631fe15d-8a38-4e77-9c19-1aca693db7ba,Purple,e84126f3-905b-40b2-890b-2f41442f697f
Emmy,female,Emmy Zecchetti,Emmy Janse,every 4 hours,found,633b124f-ea73-4190-a186-f0d49ca92f74,Mauv,4e08e954-716f-47c8-afc8-86ff2be08302
Kenon,female,Kenon Simnett,Kenon Deadman,once a day,stolen,640e8a63-2602-4459-9185-07cbdbfd3c86,Pink,fba6fb3a-f72c-4aad-9e90-ed542977ab39
Cary,male,Cary Tamlett,Cary Sadat,,lab born,643291c1-b580-40f6-a70f-047eabbd117b,Fuscia,df50ebfc-21d4-4b20-ad83-12bed7788fcf
Jinny,male,Jinny Chancelier,Jinny Skune,twice a day,lab grown,6468c1f2-3650-49af-8de8-767808ab467e,Purple,45066c1b-2139-4b5e-bb8b-197459305d87
Urbano,male,Urbano Loosley,Urbano Lembrick,every 4 hours,found,64fb6aa8-bdc6-4b9a-bc38-4c6e3f008d26,Green,8ae63775-d3c3-453c-9ec1-ca6726e59411
Eugenio,male,Eugenio Lantoph,Eugenio McGaw,every 4 hours,lab born,6500a9e0-484e-4e5d-9a4a-922e04aa2250,Teal,54fbd606-769f-4c53-84e3-34367018096b
Alano,male,Alano Korneev,Alano Scobie,every 4 hours,lab born,6504200a-10b0-4efb-bcd0-1f583bbd9609,Mauv,05c27c75-6979-4978-b25d-46d50a5441db
Audre,female,Audre Victory,Audre Grainger,twice a day,stolen,6544b4c0-4e48-4118-afd4-d2be2fa32df7,Yellow,7cc92277-c7f7-46f1-9954-3bd67628b82f
Eadie,male,Eadie Soppeth,Eadie Mynott,once a day,stolen,656617d3-6174-4e8b-888a-a36a8e6fbd93,Fuscia,b71ac2a7-7df5-4222-ab2d-0214e08d72d6
Jules,male,Jules Dymidowicz,Jules Fike,twice a day,lab grown,66342cc3-5ea0-44a6-8217-0af065d7daec,Fuscia,355e1d3d-b531-4443-a612-2c1a7c09664c
Garrett,male,Garrett Mearns,Garrett Daverin,every 4 hours,stolen,66b82b08-5dd1-4c2a-9efc-c406d0bd3524,Violet,fdd55f78-ccf4-41f5-b8f8-108b541d8ef8
Susy,female,Susy Chessel,Susy McGeachey,twice a day,lab born,66d091fd-0854-4f5c-936d-33776e5ab7ca,Red,2459e9c2-9f3b-4dc1-a62f-4def665e9347
Tabitha,male,Tabitha Summerley,,once a day,found,66e59a90-1d82-4185-ad57-0d31495b24e6,Aquamarine,db21f0ce-550c-4847-b8da-723b7e1a5575
Ferdinand,female,Ferdinand Lieber,Ferdinand Baldery,every 4 hours,found,66eb81a3-b07c-4587-b846-c15d885a0c1f,Mauv,708496e2-639c-46ad-9568-b51cb96a02ce
Janelle,male,Janelle Siberry,Janelle Seavers,twice a day,,66fd08c4-4c76-459c-bcb1-692fe9efbbc3,Goldenrod,95259c06-31fe-45a8-8594-05bb89a829d1
Camila,male,Camila Tomlett,Camila Verryan,twice a day,found,673b2abd-e5e9-46b6-81de-12cbda39b261,Turquoise,45f6f94a-4057-48df-9046-123e90292e20
Marcos,female,Marcos Popple,Marcos Verrico,every 4 hours,lab born,6754a480-9fbd-42c6-8ed7-9ecc5e0923b8,Green,2ce20713-adb2-41d4-81d5-ed3ed03f4d53
Roddy,female,Roddy Littefair,Roddy Dodgshon,twice a day,lab born,67640e72-3f90-42fd-ab6a-57746355bdb6,Yellow,41db573a-694f-42cc-ba40-f7934121e01a
Cherlyn,female,Cherlyn Stonestreet,,every 4 hours,,6779a16e-f61f-4517-bf88-095b8c555d04,Maroon,adfa56d8-024f-4833-bee1-408f9c0b4b1e
Carce,female,Carce Nielson,Carce Stede,,lab grown,67fe81e4-d355-4138-acb8-280807c3b9c3,Mauv,21f0232b-9fe0-4bea-b757-4ab433b567a9
Darla,male,Darla Voce,Darla Lidstone,once a day,stolen,6804929c-2bf9-4016-adba-17c9ed1a89e0,Goldenrod,8117c6cc-0cb6-4bc3-a974-74efde4be425
Faulkner,female,Faulkner Fullom,,twice a day,found,68ee8708-34c8-4ae7-b542-e13f750811a4,Aquamarine,bcb10cb1-b119-440e-a1bf-2e75edd51fb5
Emylee,female,,Emylee Weddeburn - Scrimgeour,every 4 hours,lab born,692512f7-4db7-43d9-bd19-b1790da81735,Crimson,b82ecb9f-6169-4f06-85a1-c678afd2f6cd
Zechariah,female,Zechariah Quick,Zechariah Lummus,every 4 hours,stolen,cb3a9da4-07b0-4969-9810-1505108d79d9,Khaki,c04dcffa-caf3-41e1-b379-d04c3f963799
Nev,male,Nev McAdam,,twice a day,found,6ae35f8e-a176-43b1-a558-d72b85553328,Khaki,29b4426d-7421-4814-acdd-0c0de1d68fe3
Si,female,,Si Perchard,twice a day,lab born,6b211ee5-fbba-4b3b-abe4-0cb3bba7b9f8,Indigo,1621f539-2f98-4a8e-83bb-05bb7d0298f4
Patrick,female,Patrick Halladay,Patrick Watkin,,lab born,6b62ad00-23b3-49d2-a626-003bfc7f0246,Puce,fa4991cf-e499-4940-8ecd-33bf7a2056ae
Oby,male,,Oby Kobieriecki,once a day,stolen,6c253e02-b20d-442e-9063-8418533a36dd,Mauv,470bfaad-ab3d-4998-a9da-de8ad239bf27
Pavel,male,Pavel Mutimer,Pavel Taffurelli,every 4 hours,found,6c4328fd-035a-48d3-95d8-c0fc49da0fea,Indigo,82191782-48f5-4661-90e3-71a8dab8d66b
Thaxter,female,Thaxter Deards,Thaxter Rawes,every 4 hours,lab born,6c570a2a-6e02-4ce2-bdd7-488882cd5116,Turquoise,0fdd66c6-9c15-4d11-aaa1-4308198eb5f0
Eleonora,male,Eleonora Thorlby,Eleonora Allbones,once a day,found,6c58ad14-bda9-446e-a4a1-dd72f7ef3d10,Red,bafffcaf-9048-4381-810a-db808d524c7c
Alfy,male,Alfy Stefi,Alfy Pohl,,stolen,6cf973a0-4e8a-4560-a311-b4d9380b59f4,Maroon,05e09bf6-decd-45f6-a58c-691f109af728
